2022/1/4,1,A01,A01,170,162
2022/1/4,1,A01,A01,150,43
2022/1/4,1,B01,A01,170,36
2022/1/4,2,B02,B02,170,120
2022/1/4,3,B02,B02,170,116
2022/1/4,3,B02,B02,170,107
2022/1/5,1,A01,A01,170,150
2022/1/5,1,A01,A01,150,43
2022/1/5,1,B01,A01,170,114
2022/1/5,2,B02,B02,170,104
2022/1/5,3,B02,B02,170,105
2022/1/6,1,A01,A01,170,182
2022/1/6,1,A01,A01,150,43
2022/1/6,1,B01,A01,170,57
2022/1/6,2,B02,B02,170,100
2022/1/6,3,B02,B02,170,122
2022/1/6,3,B02,B02,170,112
2022/1/7,1,A01,A01,170,80
2022/1/7,1,A01,A01,150,47
2022/1/7,1,B01,A01,170,108
2022/1/7,2,B02,B02,170,117
2022/1/7,3,B02,B02,170,113
2022/1/11,1,A01,A01,170,65
2022/1/11,1,A01,A01,150,24
2022/1/11,1,B01,A01,170,49
2022/1/11,2,B02,B02,170,122
2022/1/11,3,B02,B02,170,108
2022/1/11,3,B02,B02,170,129
2022/1/12,1,A01,A01,170,51
2022/1/12,1,A01,A01,150,12
2022/1/12,1,B01,A01,170,21
2022/1/12,2,B02,B02,170,125
2022/1/12,3,B02,B02,170,118
2022/1/13,1,A01,A01,170,191
2022/1/13,1,A01,A01,150,13
2022/1/13,1,B01,A01,170,33
2022/1/13,2,B02,B02,170,112
2022/1/13,3,B02,B02,170,123
2022/1/13,3,B02,B02,170,125
2022/1/14,1,A01,A01,170,199
2022/1/14,1,A01,A01,150,33
2022/1/14,1,B01,A01,170,83
2022/1/14,2,B02,B02,170,121
2022/1/14,3,B02,B02,170,111
2022/1/17,1,A01,A01,170,86
2022/1/17,1,A01,A01,150,11
2022/1/17,1,B01,A01,170,61
2022/1/17,2,B02,B02,170,113
2022/1/17,3,B02,B02,170,103
2022/1/17,3,B02,B02,170,127
2022/1/18,1,A01,A01,170,139
2022/1/18,1,A01,A01,150,36
2022/1/18,1,B01,A01,170,29
2022/1/18,2,B02,B02,170,100
2022/1/18,3,B02,B02,170,114
2022/1/19,1,A01,A01,170,158
2022/1/19,1,A01,A01,150,42
2022/1/19,1,B01,A01,170,63
2022/1/19,2,B02,B02,170,117
2022/1/19,3,B02,B02,170,112
2022/1/19,3,B02,B02,170,117
2022/1/20,1,A01,A01,170,81
2022/1/20,1,A01,A01,150,15
2022/1/20,1,B01,A01,170,42
2022/1/20,2,B02,B02,170,110
2022/1/20,3,B02,B02,170,109
2022/1/21,1,A01,A01,170,98
2022/1/21,1,A01,A01,150,12
2022/1/21,1,B01,A01,170,51
2022/1/21,2,B02,B02,170,117
2022/1/21,3,B02,B02,170,110
2022/1/21,3,B02,B02,170,111
2022/1/24,1,A01,A01,170,197
2022/1/24,1,A01,A01,150,22
2022/1/24,1,B01,A01,170,65
2022/1/24,2,B02,B02,170,109
2022/1/24,3,B02,B02,170,115
2022/1/25,1,A01,A01,170,167
2022/1/25,1,A01,A01,150,41
2022/1/25,1,B01,A01,170,95
2022/1/25,2,B02,B02,170,120
2022/1/25,3,B02,B02,170,125
2022/1/25,3,B02,B02,170,122
2022/1/26,1,A01,A01,170,143
2022/1/26,1,A01,A01,150,36
2022/1/26,1,B01,A01,170,52
2022/1/26,2,B02,B02,170,123
2022/1/26,3,B02,B02,170,104
2022/1/27,1,A01,A01,170,174
2022/1/27,1,A01,A01,150,47
2022/1/27,1,B01,A01,170,80
2022/1/27,2,B02,B02,170,119
2022/1/27,3,B02,B02,170,122
2022/1/27,3,B02,B02,170,100
2022/1/28,1,A01,A01,170,84
2022/1/28,1,A01,A01,150,43
2022/1/28,1,B01,A01,170,29
2022/1/28,2,B02,B02,170,108
2022/1/28,3,B02,B02,170,108
2022/1/31,1,A01,A01,170,186
2022/1/31,1,A01,A01,150,15
2022/1/31,1,B01,A01,170,75
2022/1/31,2,B02,B02,170,121
2022/1/31,3,B02,B02,170,114
2022/1/31,3,B02,B02,170,109
